"Story","Title","Result","Date","Stability","Duration (s)"
"Register New User","Post create new user using valid data with authorization","SUCCESS","2022-11-14T04:57:07.885+07:00[Asia/Bangkok]","0.0","1.97"
"Register New User","Post create new user using valid data without authorization","SUCCESS","2022-11-14T04:57:09.877+07:00[Asia/Bangkok]","0.0","1.69"
"Register New User","Post create new user with Empty Name in Body JSON","SUCCESS","2022-11-14T04:57:11.586+07:00[Asia/Bangkok]","0.0","1.72"
"Register New User","Post create new user with Empty Email in Body JSON","SUCCESS","2022-11-14T04:57:13.327+07:00[Asia/Bangkok]","0.0","1.68"
"Register New User","Post create new user with Empty Password in Body JSON","SUCCESS","2022-11-14T04:57:15.028+07:00[Asia/Bangkok]","0.0","1.68"
"Register New User","Post create new user with Empty Id_Class in Body JSON","SUCCESS","2022-11-14T04:57:16.728+07:00[Asia/Bangkok]","0.0","1.7"
"Register New User","Post create new user with Empty Role in Body JSON","SUCCESS","2022-11-14T04:57:18.446+07:00[Asia/Bangkok]","0.0","1.79"
"Register New User","Post create new user input name with more than 2 word name in body JSON","SUCCESS","2022-11-14T04:57:20.253+07:00[Asia/Bangkok]","0.0","1.89"
"Register New User","Post create new user input name with special char in body JSON","SUCCESS","2022-11-14T04:57:22.157+07:00[Asia/Bangkok]","0.0","1.69"
"Register New User","Post create new user input name with numeric in body JSON","SUCCESS","2022-11-14T04:57:23.871+07:00[Asia/Bangkok]","0.0","1.76"
"Register New User","Post create new user input invalid email in body JSON","SUCCESS","2022-11-14T04:57:25.647+07:00[Asia/Bangkok]","0.0","1.72"
"Register New User","Post create new user input deleted email in body JSON","FAILURE","2022-11-14T04:57:27.386+07:00[Asia/Bangkok]","0.0","2.12"
"Register New User","Post create new user input password with alphabet in body JSON","SUCCESS","2022-11-14T04:57:29.527+07:00[Asia/Bangkok]","0.0","1.69"
"Register New User","Post create new user input password with numeric in body JSON","SUCCESS","2022-11-14T04:57:31.236+07:00[Asia/Bangkok]","0.0","1.71"
"Register New User","Post create new user input password with special char in body JSON","SUCCESS","2022-11-14T04:57:32.972+07:00[Asia/Bangkok]","0.0","1.7"
"Register New User","Post create new user input invalid id class in body JSON","SUCCESS","2022-11-14T04:57:34.688+07:00[Asia/Bangkok]","0.0","1.71"
"Register New User","Post create new user input invalid id role in body JSON","SUCCESS","2022-11-14T04:57:36.42+07:00[Asia/Bangkok]","0.0","1.78"
