"Story","Title","Result","Date","Stability","Duration (s)"
"Get All Status","Get All Status with Authorization","SUCCESS","2022-11-14T04:58:16.013+07:00[Asia/Bangkok]","0.0","1.8"
"Get All Status","Get All Status without Authorization","SUCCESS","2022-11-14T04:58:17.827+07:00[Asia/Bangkok]","0.0","1.77"
"Post Add New Status","Post add status using valid data with authorization","SUCCESS","2022-11-14T04:58:19.624+07:00[Asia/Bangkok]","0.0","3.17"
"Post Add New Status","Post add status using valid data without authorization","SUCCESS","2022-11-14T04:58:22.805+07:00[Asia/Bangkok]","0.0","3.06"
"Post Add New Status","Post add status using numeric caption in body JSON","SUCCESS","2022-11-14T04:58:25.884+07:00[Asia/Bangkok]","0.0","3.14"
"Post Add New Status","Post add status using special char caption in body JSON","SUCCESS","2022-11-14T04:58:29.044+07:00[Asia/Bangkok]","0.0","2.82"
"Post Add New Status","Post add status with empty caption in body JSON","SUCCESS","2022-11-14T04:58:31.883+07:00[Asia/Bangkok]","0.0","2.73"
"Post Add New Status","Post add status with invalid images extension","SUCCESS","2022-11-14T04:58:34.633+07:00[Asia/Bangkok]","0.0","3.51"
"Post Add New Status","Post add status with empty images","SUCCESS","2022-11-14T04:58:38.159+07:00[Asia/Bangkok]","0.0","1.78"
"Post Add New Status","Post add status with more than max image size","SUCCESS","2022-11-14T04:58:39.954+07:00[Asia/Bangkok]","0.0","20.77"
