"Story","Title","Result","Date","Stability","Duration (s)"
"Submit score","Add task score with valid task id and valid score","SUCCESS","2022-11-14T05:05:43.778+07:00[Asia/Bangkok]","0.0","2.7"
"Submit score","Add task score with invalid task id and valid score","SUCCESS","2022-11-14T05:05:46.498+07:00[Asia/Bangkok]","0.0","2.71"
"Submit score","Add task score with unregister task id and valid score","SUCCESS","2022-11-14T05:05:49.225+07:00[Asia/Bangkok]","0.0","2.67"
"Submit score","Add task score without task id and valid score","SUCCESS","2022-11-14T05:05:51.918+07:00[Asia/Bangkok]","0.0","2.71"
"Submit score","Add task score with valid task id and string score","SUCCESS","2022-11-14T05:05:54.645+07:00[Asia/Bangkok]","0.0","2.67"
"Submit score","Add task score with valid task id and decimal score","SUCCESS","2022-11-14T05:05:57.327+07:00[Asia/Bangkok]","0.0","2.68"
"Submit score","Add task score with valid task id and more than max score","SUCCESS","2022-11-14T05:06:00.03+07:00[Asia/Bangkok]","0.0","2.7"
"Submit score","Add task score with valid task id and special char score","SUCCESS","2022-11-14T05:06:02.747+07:00[Asia/Bangkok]","0.0","2.68"
"Submit score","Add task score with valid task id and empty score","SUCCESS","2022-11-14T05:06:05.448+07:00[Asia/Bangkok]","0.0","2.69"
"Submit score","Add task score without Token","SUCCESS","2022-11-14T05:06:08.156+07:00[Asia/Bangkok]","0.0","2.72"
