"Story","Title","Result","Date","Stability","Duration (s)"
"Update User","Put update user with all valid data and authorization","SUCCESS","2022-11-14T04:57:52.027+07:00[Asia/Bangkok]","0.0","1.79"
"Update User","Put update user with all valid data and unauthorization","SUCCESS","2022-11-14T04:57:53.84+07:00[Asia/Bangkok]","0.0","2.91"
"Update User","Put update user with input numeric name","SUCCESS","2022-11-14T04:57:56.774+07:00[Asia/Bangkok]","0.0","1.7"
"Update User","Put update user with input special char name","SUCCESS","2022-11-14T04:57:58.487+07:00[Asia/Bangkok]","0.0","1.77"
"Update User","Put update user with invalid email","SUCCESS","2022-11-14T04:58:00.278+07:00[Asia/Bangkok]","0.0","3.4"
"Update User","Put update user with numeric password","SUCCESS","2022-11-14T04:58:03.69+07:00[Asia/Bangkok]","0.0","1.7"
"Update User","Put update user with invalid password","SUCCESS","2022-11-14T04:58:05.407+07:00[Asia/Bangkok]","0.0","5.33"
"Update User","Put update user with invalid images extention","FAILURE","2022-11-14T04:58:10.752+07:00[Asia/Bangkok]","0.0","1.74"
"Update User","Put update user with id_class not registered","SUCCESS","2022-11-14T04:58:12.512+07:00[Asia/Bangkok]","0.0","1.77"
"Update User","Put update user with all empty data in body JSON","SUCCESS","2022-11-14T04:58:14.298+07:00[Asia/Bangkok]","0.0","1.7"
