"Story","Title","Result","Date","Stability","Duration (s)"
"Login All users","Login user with unregistered email","SUCCESS","2022-11-14T04:59:01.727+07:00[Asia/Bangkok]","0.0","0.83"
"Login All users","Login user with invalid email","SUCCESS","2022-11-14T04:59:02.573+07:00[Asia/Bangkok]","0.0","2.66"
"Login All users","Login user with invalid password","SUCCESS","2022-11-14T04:59:05.244+07:00[Asia/Bangkok]","0.0","2.56"
"Login All users","Login user with all invalid data","SUCCESS","2022-11-14T04:59:07.823+07:00[Asia/Bangkok]","0.0","0.84"
"Login All users","Login user with empty email","SUCCESS","2022-11-14T04:59:08.673+07:00[Asia/Bangkok]","0.0","0.84"
"Login All users","Login user with empty password","SUCCESS","2022-11-14T04:59:09.535+07:00[Asia/Bangkok]","0.0","0.83"
"Login All users","Login user with all empty data","SUCCESS","2022-11-14T04:59:10.385+07:00[Asia/Bangkok]","0.0","0.83"
"Add Mentee Comment","Add Mentee comment with invalid forum id and valid caption","SUCCESS","2022-11-14T04:59:13.953+07:00[Asia/Bangkok]","0.0","2.69"
"Add Mentor Comment","Add mentor comment with invalid forum id and valid caption","SUCCESS","2022-11-14T05:02:02.023+07:00[Asia/Bangkok]","0.0","2.75"
"Add Task by Mentor","Create Task with more than 255 character title","SUCCESS","2022-11-14T05:02:35.316+07:00[Asia/Bangkok]","0.0","12.39"
"Add Task by Mentor","Create Task with more than 255 character description","SUCCESS","2022-11-14T05:03:01.717+07:00[Asia/Bangkok]","0.0","12.27"
"Add Task by Mentor","Create Task with invalid Images extension","SUCCESS","2022-11-14T05:03:14.009+07:00[Asia/Bangkok]","0.0","4.84"
"Add Task by Mentor","Create Task with invalid file extension","SUCCESS","2022-11-14T05:03:18.867+07:00[Asia/Bangkok]","0.0","4.05"
"Add Task by Mentor","Create Task with big file size","SUCCESS","2022-11-14T05:03:22.928+07:00[Asia/Bangkok]","0.0","61.93"
"Add Task by Mentor","Create Task with invalid time format","SUCCESS","2022-11-14T05:04:24.876+07:00[Asia/Bangkok]","0.0","20.17"
"Add Task by Mentor","Create Task with incomplete data","SUCCESS","2022-11-14T05:04:45.068+07:00[Asia/Bangkok]","0.0","2.83"
"Add Task by Mentor","Create Task with empty data","SUCCESS","2022-11-14T05:04:47.917+07:00[Asia/Bangkok]","0.0","2.66"
"Delete Task","Delete task with invalid task id","SUCCESS","2022-11-14T05:05:04.335+07:00[Asia/Bangkok]","0.0","2.72"
"Delete Task","Delete task with unregistered task id","SUCCESS","2022-11-14T05:05:07.076+07:00[Asia/Bangkok]","0.0","2.71"
"Delete Task","Delete task without task id","SUCCESS","2022-11-14T05:05:09.807+07:00[Asia/Bangkok]","0.0","2.7"
"Delete Task","Delete task without Token","SUCCESS","2022-11-14T05:05:12.53+07:00[Asia/Bangkok]","0.0","14.39"
"Get All Task","Get all task with valid mentor id","SUCCESS","2022-11-14T05:05:26.941+07:00[Asia/Bangkok]","0.0","2.88"
"Get All Task","Get all task use mentor id without Token","SUCCESS","2022-11-14T05:05:29.838+07:00[Asia/Bangkok]","0.0","2.71"
"Update Mentor Profile","Get task with invalid task id","SUCCESS","2022-11-14T05:05:35.341+07:00[Asia/Bangkok]","0.0","2.81"
"Update Mentor Profile","Get task with unregistered task id","SUCCESS","2022-11-14T05:05:38.181+07:00[Asia/Bangkok]","0.0","2.77"
"Update Mentor Profile","Get detail task with valid task id without Token","SUCCESS","2022-11-14T05:05:40.973+07:00[Asia/Bangkok]","0.0","2.78"
"Submit score","Add task score with invalid task id and valid score","SUCCESS","2022-11-14T05:05:46.498+07:00[Asia/Bangkok]","0.0","2.71"
"Submit score","Add task score with unregister task id and valid score","SUCCESS","2022-11-14T05:05:49.225+07:00[Asia/Bangkok]","0.0","2.67"
"Submit score","Add task score without task id and valid score","SUCCESS","2022-11-14T05:05:51.918+07:00[Asia/Bangkok]","0.0","2.71"
"Submit score","Add task score with valid task id and string score","SUCCESS","2022-11-14T05:05:54.645+07:00[Asia/Bangkok]","0.0","2.67"
"Submit score","Add task score with valid task id and decimal score","SUCCESS","2022-11-14T05:05:57.327+07:00[Asia/Bangkok]","0.0","2.68"
"Submit score","Add task score with valid task id and more than max score","SUCCESS","2022-11-14T05:06:00.03+07:00[Asia/Bangkok]","0.0","2.7"
"Submit score","Add task score with valid task id and special char score","SUCCESS","2022-11-14T05:06:02.747+07:00[Asia/Bangkok]","0.0","2.68"
"Submit score","Add task score with valid task id and empty score","SUCCESS","2022-11-14T05:06:05.448+07:00[Asia/Bangkok]","0.0","2.69"
"Submit score","Add task score without Token","SUCCESS","2022-11-14T05:06:08.156+07:00[Asia/Bangkok]","0.0","2.72"
"Update Task","Update task with invalid task id and valid data","SUCCESS","2022-11-14T05:07:26.069+07:00[Asia/Bangkok]","0.0","5.82"
"Update Task","Update task with unregistered task id and valid data","SUCCESS","2022-11-14T05:07:31.907+07:00[Asia/Bangkok]","0.0","4.42"
"Update Task","Update task without task id and valid data","SUCCESS","2022-11-14T05:07:36.341+07:00[Asia/Bangkok]","0.0","5.65"
"Update Task","Update Task with valId Id and  more than max character title","SUCCESS","2022-11-14T05:07:53.619+07:00[Asia/Bangkok]","0.0","5.47"
