"Story","Title","Result","Date","Stability","Duration (s)"
"Add Mentor Comment","Add mentor comment with valid forum id and valid caption","SUCCESS","2022-11-14T05:01:59.272+07:00[Asia/Bangkok]","0.0","2.74"
"Add Mentor Comment","Add mentor comment with invalid forum id and valid caption","SUCCESS","2022-11-14T05:02:02.023+07:00[Asia/Bangkok]","0.0","2.75"
"Add Mentor Comment","Add mentor comment with valid forum id and int caption","SUCCESS","2022-11-14T05:02:07.509+07:00[Asia/Bangkok]","0.0","2.69"
"Add Mentor Comment","Add mentor comment with valid forum id and float caption","SUCCESS","2022-11-14T05:02:10.221+07:00[Asia/Bangkok]","0.0","2.73"
"Add Mentor Comment","Add mentor comment with valid forum id and special char caption","SUCCESS","2022-11-14T05:02:15.728+07:00[Asia/Bangkok]","0.0","2.69"
"Add Task by Mentor","Create Task with all valid data","SUCCESS","2022-11-14T05:02:21.162+07:00[Asia/Bangkok]","0.0","4.32"
"Add Task by Mentor","Create Task with numeric title","SUCCESS","2022-11-14T05:02:25.498+07:00[Asia/Bangkok]","0.0","5.24"
"Add Task by Mentor","Create Task with Special Character title","SUCCESS","2022-11-14T05:02:30.759+07:00[Asia/Bangkok]","0.0","4.54"
"Add Task by Mentor","Create Task with more than 255 character title","SUCCESS","2022-11-14T05:02:35.316+07:00[Asia/Bangkok]","0.0","12.39"
"Add Task by Mentor","Create Task with numeric description","SUCCESS","2022-11-14T05:02:47.731+07:00[Asia/Bangkok]","0.0","6.37"
"Add Task by Mentor","Create Task with Special Character description","SUCCESS","2022-11-14T05:02:54.13+07:00[Asia/Bangkok]","0.0","7.57"
"Add Task by Mentor","Create Task with more than 255 character description","SUCCESS","2022-11-14T05:03:01.717+07:00[Asia/Bangkok]","0.0","12.27"
"Add Task by Mentor","Create Task with invalid Images extension","SUCCESS","2022-11-14T05:03:14.009+07:00[Asia/Bangkok]","0.0","4.84"
"Add Task by Mentor","Create Task with invalid file extension","SUCCESS","2022-11-14T05:03:18.867+07:00[Asia/Bangkok]","0.0","4.05"
"Add Task by Mentor","Create Task with big file size","SUCCESS","2022-11-14T05:03:22.928+07:00[Asia/Bangkok]","0.0","61.93"
"Add Task by Mentor","Create Task with invalid time format","SUCCESS","2022-11-14T05:04:24.876+07:00[Asia/Bangkok]","0.0","20.17"
"Add Task by Mentor","Create Task with incomplete data","SUCCESS","2022-11-14T05:04:45.068+07:00[Asia/Bangkok]","0.0","2.83"
"Add Task by Mentor","Create Task with empty data","SUCCESS","2022-11-14T05:04:47.917+07:00[Asia/Bangkok]","0.0","2.66"
"Delete Task","Delete task with valid task id","SUCCESS","2022-11-14T05:05:01.563+07:00[Asia/Bangkok]","0.0","2.76"
"Delete Task","Delete task with invalid task id","SUCCESS","2022-11-14T05:05:04.335+07:00[Asia/Bangkok]","0.0","2.72"
"Delete Task","Delete task with unregistered task id","SUCCESS","2022-11-14T05:05:07.076+07:00[Asia/Bangkok]","0.0","2.71"
"Delete Task","Delete task without task id","SUCCESS","2022-11-14T05:05:09.807+07:00[Asia/Bangkok]","0.0","2.7"
"Delete Task","Delete task without Token","SUCCESS","2022-11-14T05:05:12.53+07:00[Asia/Bangkok]","0.0","14.39"
"Get All Task","Get all task with valid mentor id","SUCCESS","2022-11-14T05:05:26.941+07:00[Asia/Bangkok]","0.0","2.88"
"Get All Task","Get all task use mentor id without Token","SUCCESS","2022-11-14T05:05:29.838+07:00[Asia/Bangkok]","0.0","2.71"
"Update Mentor Profile","Get task with valid task id","SUCCESS","2022-11-14T05:05:32.571+07:00[Asia/Bangkok]","0.0","2.74"
"Update Mentor Profile","Get task with invalid task id","SUCCESS","2022-11-14T05:05:35.341+07:00[Asia/Bangkok]","0.0","2.81"
"Update Mentor Profile","Get task with unregistered task id","SUCCESS","2022-11-14T05:05:38.181+07:00[Asia/Bangkok]","0.0","2.77"
"Update Mentor Profile","Get detail task with valid task id without Token","SUCCESS","2022-11-14T05:05:40.973+07:00[Asia/Bangkok]","0.0","2.78"
"Submit score","Add task score with valid task id and valid score","SUCCESS","2022-11-14T05:05:43.778+07:00[Asia/Bangkok]","0.0","2.7"
"Submit score","Add task score with invalid task id and valid score","SUCCESS","2022-11-14T05:05:46.498+07:00[Asia/Bangkok]","0.0","2.71"
"Submit score","Add task score with unregister task id and valid score","SUCCESS","2022-11-14T05:05:49.225+07:00[Asia/Bangkok]","0.0","2.67"
"Submit score","Add task score without task id and valid score","SUCCESS","2022-11-14T05:05:51.918+07:00[Asia/Bangkok]","0.0","2.71"
"Submit score","Add task score with valid task id and string score","SUCCESS","2022-11-14T05:05:54.645+07:00[Asia/Bangkok]","0.0","2.67"
"Submit score","Add task score with valid task id and decimal score","SUCCESS","2022-11-14T05:05:57.327+07:00[Asia/Bangkok]","0.0","2.68"
"Submit score","Add task score with valid task id and more than max score","SUCCESS","2022-11-14T05:06:00.03+07:00[Asia/Bangkok]","0.0","2.7"
"Submit score","Add task score with valid task id and special char score","SUCCESS","2022-11-14T05:06:02.747+07:00[Asia/Bangkok]","0.0","2.68"
"Submit score","Add task score with valid task id and empty score","SUCCESS","2022-11-14T05:06:05.448+07:00[Asia/Bangkok]","0.0","2.69"
"Submit score","Add task score without Token","SUCCESS","2022-11-14T05:06:08.156+07:00[Asia/Bangkok]","0.0","2.72"
"Update Mentor Profile","Update profile Mentor with all valid data","SUCCESS","2022-11-14T05:06:10.896+07:00[Asia/Bangkok]","0.0","4.64"
"Update Mentor Profile","Update name Mentor with Numeric","SUCCESS","2022-11-14T05:06:15.559+07:00[Asia/Bangkok]","0.0","3.6"
"Update Mentor Profile","Update name Mentor with Special char","SUCCESS","2022-11-14T05:06:19.181+07:00[Asia/Bangkok]","0.0","3.89"
"Update Mentor Profile","Update name Mentor with more than maximum char","SUCCESS","2022-11-14T05:06:23.082+07:00[Asia/Bangkok]","0.0","3.65"
"Update Mentor Profile","Update email Mentor without '@'","SUCCESS","2022-11-14T05:06:26.746+07:00[Asia/Bangkok]","0.0","3.64"
"Update Mentor Profile","Update email Mentor with full numeric email address","SUCCESS","2022-11-14T05:06:30.404+07:00[Asia/Bangkok]","0.0","3.68"
"Update Mentor Profile","Update email Mentor with space email address","SUCCESS","2022-11-14T05:06:34.102+07:00[Asia/Bangkok]","0.0","3.62"
"Update Mentor Profile","Update email Mentor with capital email address","SUCCESS","2022-11-14T05:06:37.737+07:00[Asia/Bangkok]","0.0","3.72"
"Update Mentor Profile","Update email Mentor with more than max char email name","SUCCESS","2022-11-14T05:06:41.473+07:00[Asia/Bangkok]","0.0","3.63"
"Update Mentor Profile","Update password Mentor with numeric only","SUCCESS","2022-11-14T05:06:45.114+07:00[Asia/Bangkok]","0.0","3.88"
"Update Mentor Profile","Update password Mentor with string only","SUCCESS","2022-11-14T05:06:49.015+07:00[Asia/Bangkok]","0.0","4.67"
"Update Mentor Profile","Update password Mentor with special character only","SUCCESS","2022-11-14T05:06:53.702+07:00[Asia/Bangkok]","0.0","3.59"
