"Story","Title","Result","Date","Stability","Duration (s)"
"Register New User","Post create new user input deleted email in body JSON","FAILURE","2022-11-14T04:57:27.386+07:00[Asia/Bangkok]","0.0","2.12"
"Update User","Put update user with invalid images extention","FAILURE","2022-11-14T04:58:10.752+07:00[Asia/Bangkok]","0.0","1.74"
"Add Mentee Comment","Add Mentee comment with unregistered forum  id and valid caption","FAILURE","2022-11-14T04:59:16.662+07:00[Asia/Bangkok]","0.0","2.67"
"Add Mentee Comment","Add Mentee comment with valid forum id and more than max caption char","FAILURE","2022-11-14T04:59:25.824+07:00[Asia/Bangkok]","0.0","3.56"
"Add Mentee Comment","Add Mentee comment with valid forum id and empty data","FAILURE","2022-11-14T04:59:32.123+07:00[Asia/Bangkok]","0.0","2.84"
"AssignTask","Assign task with valid task id and valid file data","FAILURE","2022-11-14T04:59:34.978+07:00[Asia/Bangkok]","0.0","4.71"
"AssignTask","Assign task without Token","FAILURE","2022-11-14T05:00:32.714+07:00[Asia/Bangkok]","0.0","9.77"
"Add Mentor Comment","Add mentor comment with unregistered forum  id and valid caption","FAILURE","2022-11-14T05:02:04.787+07:00[Asia/Bangkok]","0.0","2.71"
"Add Mentor Comment","Add mentor comment with valid forum id and more than max caption char","FAILURE","2022-11-14T05:02:12.977+07:00[Asia/Bangkok]","0.0","2.73"
"Add Mentor Comment","Add mentor comment with valid forum id and empty data","FAILURE","2022-11-14T05:02:18.437+07:00[Asia/Bangkok]","0.0","2.71"
"Add Task by Mentor","Create Task without Token","FAILURE","2022-11-14T05:04:50.595+07:00[Asia/Bangkok]","0.0","10.95"
"Update Task","Update Task with valId Id and  invalid and  time format","FAILURE","2022-11-14T05:09:24.807+07:00[Asia/Bangkok]","0.0","12.9"
