"Story","Title","Result","Date","Stability","Duration (s)"
"Add Task by Mentor","Create Task with all valid data","SUCCESS","2022-11-14T05:02:21.162+07:00[Asia/Bangkok]","0.0","4.32"
"Add Task by Mentor","Create Task with numeric title","SUCCESS","2022-11-14T05:02:25.498+07:00[Asia/Bangkok]","0.0","5.24"
"Add Task by Mentor","Create Task with Special Character title","SUCCESS","2022-11-14T05:02:30.759+07:00[Asia/Bangkok]","0.0","4.54"
"Add Task by Mentor","Create Task with more than 255 character title","SUCCESS","2022-11-14T05:02:35.316+07:00[Asia/Bangkok]","0.0","12.39"
"Add Task by Mentor","Create Task with numeric description","SUCCESS","2022-11-14T05:02:47.731+07:00[Asia/Bangkok]","0.0","6.37"
"Add Task by Mentor","Create Task with Special Character description","SUCCESS","2022-11-14T05:02:54.13+07:00[Asia/Bangkok]","0.0","7.57"
"Add Task by Mentor","Create Task with more than 255 character description","SUCCESS","2022-11-14T05:03:01.717+07:00[Asia/Bangkok]","0.0","12.27"
"Add Task by Mentor","Create Task with invalid Images extension","SUCCESS","2022-11-14T05:03:14.009+07:00[Asia/Bangkok]","0.0","4.84"
"Add Task by Mentor","Create Task with invalid file extension","SUCCESS","2022-11-14T05:03:18.867+07:00[Asia/Bangkok]","0.0","4.05"
"Add Task by Mentor","Create Task with big file size","SUCCESS","2022-11-14T05:03:22.928+07:00[Asia/Bangkok]","0.0","61.93"
"Add Task by Mentor","Create Task with invalid time format","SUCCESS","2022-11-14T05:04:24.876+07:00[Asia/Bangkok]","0.0","20.17"
"Add Task by Mentor","Create Task with incomplete data","SUCCESS","2022-11-14T05:04:45.068+07:00[Asia/Bangkok]","0.0","2.83"
"Add Task by Mentor","Create Task with empty data","SUCCESS","2022-11-14T05:04:47.917+07:00[Asia/Bangkok]","0.0","2.66"
