"Story","Title","Result","Date","Stability","Duration (s)"
"Update Mentor Profile","Get task with valid task id","SUCCESS","2022-11-14T05:05:32.571+07:00[Asia/Bangkok]","0.0","2.74"
"Update Mentor Profile","Get task with invalid task id","SUCCESS","2022-11-14T05:05:35.341+07:00[Asia/Bangkok]","0.0","2.81"
"Update Mentor Profile","Get task with unregistered task id","SUCCESS","2022-11-14T05:05:38.181+07:00[Asia/Bangkok]","0.0","2.77"
"Update Mentor Profile","Get detail task with valid task id without Token","SUCCESS","2022-11-14T05:05:40.973+07:00[Asia/Bangkok]","0.0","2.78"
"Update Mentor Profile","Update profile Mentor with all valid data","SUCCESS","2022-11-14T05:06:10.896+07:00[Asia/Bangkok]","0.0","4.64"
"Update Mentor Profile","Update name Mentor with Numeric","SUCCESS","2022-11-14T05:06:15.559+07:00[Asia/Bangkok]","0.0","3.6"
"Update Mentor Profile","Update name Mentor with Special char","SUCCESS","2022-11-14T05:06:19.181+07:00[Asia/Bangkok]","0.0","3.89"
"Update Mentor Profile","Update name Mentor with more than maximum char","SUCCESS","2022-11-14T05:06:23.082+07:00[Asia/Bangkok]","0.0","3.65"
"Update Mentor Profile","Update email Mentor without '@'","SUCCESS","2022-11-14T05:06:26.746+07:00[Asia/Bangkok]","0.0","3.64"
"Update Mentor Profile","Update email Mentor with full numeric email address","SUCCESS","2022-11-14T05:06:30.404+07:00[Asia/Bangkok]","0.0","3.68"
"Update Mentor Profile","Update email Mentor with space email address","SUCCESS","2022-11-14T05:06:34.102+07:00[Asia/Bangkok]","0.0","3.62"
"Update Mentor Profile","Update email Mentor with capital email address","SUCCESS","2022-11-14T05:06:37.737+07:00[Asia/Bangkok]","0.0","3.72"
"Update Mentor Profile","Update email Mentor with more than max char email name","SUCCESS","2022-11-14T05:06:41.473+07:00[Asia/Bangkok]","0.0","3.63"
"Update Mentor Profile","Update password Mentor with numeric only","SUCCESS","2022-11-14T05:06:45.114+07:00[Asia/Bangkok]","0.0","3.88"
"Update Mentor Profile","Update password Mentor with string only","SUCCESS","2022-11-14T05:06:49.015+07:00[Asia/Bangkok]","0.0","4.67"
"Update Mentor Profile","Update password Mentor with special character only","SUCCESS","2022-11-14T05:06:53.702+07:00[Asia/Bangkok]","0.0","3.59"
"Update Mentor Profile","Update Password Mentor with more than maximal character","SUCCESS","2022-11-14T05:06:57.305+07:00[Asia/Bangkok]","0.0","3.67"
"Update Mentor Profile","Update Password Mentor with less than minimum character","SUCCESS","2022-11-14T05:07:00.995+07:00[Asia/Bangkok]","0.0","3.63"
"Update Mentor Profile","Update profile Images Mentor with invalid Images extension","SUCCESS","2022-11-14T05:07:04.638+07:00[Asia/Bangkok]","0.0","4.86"
"Update Mentor Profile","Update profile Mentor with empty data","SUCCESS","2022-11-14T05:07:09.513+07:00[Asia/Bangkok]","0.0","3.66"
"Update Mentor Profile","Update email Mentor without '.'","SUCCESS","2022-11-14T05:07:13.191+07:00[Asia/Bangkok]","0.0","3.64"
"Update Mentor Profile","Update password Mentor space ( ) char","SUCCESS","2022-11-14T05:07:16.845+07:00[Asia/Bangkok]","0.0","3.71"
