"Story","Title","Result","Date","Stability","Duration (s)"
"Delete a class","Delete Exiting Class with Valid Id","SUCCESS","2022-11-14T04:56:04.335+07:00[Asia/Bangkok]","0.0","8.57"
"Delete a class","Delete Exiting Class without Authorized","SUCCESS","2022-11-14T04:56:12.946+07:00[Asia/Bangkok]","0.0","3.19"
"Delete a class","Delete Exiting Class With Unregistered Id","SUCCESS","2022-11-14T04:56:16.158+07:00[Asia/Bangkok]","0.0","2.1"
"Delete a class","Delete Exiting Class With Invalid Id","SUCCESS","2022-11-14T04:56:18.29+07:00[Asia/Bangkok]","0.0","4.56"
"Delete a class","Delete Exiting Class With Id has been deleted","SUCCESS","2022-11-14T04:56:22.878+07:00[Asia/Bangkok]","0.0","1.94"
"Delete User Account","Delete User Account with Valid Id","SUCCESS","2022-11-14T04:56:24.878+07:00[Asia/Bangkok]","0.0","1.79"
"Delete User Account","Delete User Account without Authorized","SUCCESS","2022-11-14T04:56:26.683+07:00[Asia/Bangkok]","0.0","3.24"
"Delete User Account","Delete User Account With Unregistered Id","SUCCESS","2022-11-14T04:56:29.935+07:00[Asia/Bangkok]","0.0","1.78"
"Delete User Account","Delete User Account With Invalid Id","SUCCESS","2022-11-14T04:56:31.739+07:00[Asia/Bangkok]","0.0","4.36"
"Delete User Account","Delete User Account With Id has been deleted","SUCCESS","2022-11-14T04:56:36.119+07:00[Asia/Bangkok]","0.0","1.7"
"Get All Class","Get All Class with Authorization","SUCCESS","2022-11-14T04:56:37.869+07:00[Asia/Bangkok]","0.0","2.6"
"Get All Class","Get All Class without Authorization","SUCCESS","2022-11-14T04:56:40.485+07:00[Asia/Bangkok]","0.0","1.95"
"Get All User","Get All User with Authorization","SUCCESS","2022-11-14T04:56:42.487+07:00[Asia/Bangkok]","0.0","2.06"
"Get All User","Get All User without Authorization","SUCCESS","2022-11-14T04:56:44.561+07:00[Asia/Bangkok]","0.0","1.7"
"Get Single User","Get Single User with Valid Id User","SUCCESS","2022-11-14T04:56:46.291+07:00[Asia/Bangkok]","0.0","2.29"
"Get Single User","Get Single User Using Valid Id User without Authorization","SUCCESS","2022-11-14T04:56:48.605+07:00[Asia/Bangkok]","0.0","2.0"
"Get Single User","Get Single User with Unregistered Id User","SUCCESS","2022-11-14T04:56:50.626+07:00[Asia/Bangkok]","0.0","1.92"
"Get Single User","Get Single User with Invalid Id User","SUCCESS","2022-11-14T04:56:52.566+07:00[Asia/Bangkok]","0.0","3.47"
"Get Single User","Get Single User with Id User has been Deleted","SUCCESS","2022-11-14T04:56:56.062+07:00[Asia/Bangkok]","0.0","2.41"
"Register New Class","Post create new class using valid data with authorization","SUCCESS","2022-11-14T04:56:58.5+07:00[Asia/Bangkok]","0.0","2.06"
"Register New Class","Post create new class using valid data without authorization","SUCCESS","2022-11-14T04:57:00.582+07:00[Asia/Bangkok]","0.0","1.93"
"Register New Class","Post create new class with empty class name","SUCCESS","2022-11-14T04:57:02.528+07:00[Asia/Bangkok]","0.0","1.67"
"Register New Class","Post create new class with numeric class name in Body JSON","SUCCESS","2022-11-14T04:57:04.242+07:00[Asia/Bangkok]","0.0","1.71"
"Register New Class","Post create new class with special char class name in Body JSON","SUCCESS","2022-11-14T04:57:05.969+07:00[Asia/Bangkok]","0.0","1.89"
"Register New User","Post create new user using valid data with authorization","SUCCESS","2022-11-14T04:57:07.885+07:00[Asia/Bangkok]","0.0","1.97"
"Register New User","Post create new user using valid data without authorization","SUCCESS","2022-11-14T04:57:09.877+07:00[Asia/Bangkok]","0.0","1.69"
"Register New User","Post create new user with Empty Name in Body JSON","SUCCESS","2022-11-14T04:57:11.586+07:00[Asia/Bangkok]","0.0","1.72"
"Register New User","Post create new user with Empty Email in Body JSON","SUCCESS","2022-11-14T04:57:13.327+07:00[Asia/Bangkok]","0.0","1.68"
"Register New User","Post create new user with Empty Password in Body JSON","SUCCESS","2022-11-14T04:57:15.028+07:00[Asia/Bangkok]","0.0","1.68"
"Register New User","Post create new user with Empty Id_Class in Body JSON","SUCCESS","2022-11-14T04:57:16.728+07:00[Asia/Bangkok]","0.0","1.7"
"Register New User","Post create new user with Empty Role in Body JSON","SUCCESS","2022-11-14T04:57:18.446+07:00[Asia/Bangkok]","0.0","1.79"
"Register New User","Post create new user input name with more than 2 word name in body JSON","SUCCESS","2022-11-14T04:57:20.253+07:00[Asia/Bangkok]","0.0","1.89"
"Register New User","Post create new user input name with special char in body JSON","SUCCESS","2022-11-14T04:57:22.157+07:00[Asia/Bangkok]","0.0","1.69"
"Register New User","Post create new user input name with numeric in body JSON","SUCCESS","2022-11-14T04:57:23.871+07:00[Asia/Bangkok]","0.0","1.76"
"Register New User","Post create new user input invalid email in body JSON","SUCCESS","2022-11-14T04:57:25.647+07:00[Asia/Bangkok]","0.0","1.72"
"Register New User","Post create new user input deleted email in body JSON","FAILURE","2022-11-14T04:57:27.386+07:00[Asia/Bangkok]","0.0","2.12"
"Register New User","Post create new user input password with alphabet in body JSON","SUCCESS","2022-11-14T04:57:29.527+07:00[Asia/Bangkok]","0.0","1.69"
"Register New User","Post create new user input password with numeric in body JSON","SUCCESS","2022-11-14T04:57:31.236+07:00[Asia/Bangkok]","0.0","1.71"
"Register New User","Post create new user input password with special char in body JSON","SUCCESS","2022-11-14T04:57:32.972+07:00[Asia/Bangkok]","0.0","1.7"
"Register New User","Post create new user input invalid id class in body JSON","SUCCESS","2022-11-14T04:57:34.688+07:00[Asia/Bangkok]","0.0","1.71"
"Register New User","Post create new user input invalid id role in body JSON","SUCCESS","2022-11-14T04:57:36.42+07:00[Asia/Bangkok]","0.0","1.78"
"Update Class","Put update class with valid class_name","SUCCESS","2022-11-14T04:57:38.22+07:00[Asia/Bangkok]","0.0","1.73"
"Update Class","Put update class with valid status","SUCCESS","2022-11-14T04:57:39.97+07:00[Asia/Bangkok]","0.0","1.78"
"Update Class","Put update class without authorization","SUCCESS","2022-11-14T04:57:41.766+07:00[Asia/Bangkok]","0.0","1.67"
"Update Class","Put update class with all data empty in body JSON","SUCCESS","2022-11-14T04:57:43.455+07:00[Asia/Bangkok]","0.0","1.68"
"Update Class","Put Update with Numeric Class Name in Body JSON","SUCCESS","2022-11-14T04:57:45.156+07:00[Asia/Bangkok]","0.0","1.69"
"Update Class","Put Update with Special char in Body JSON","SUCCESS","2022-11-14T04:57:46.858+07:00[Asia/Bangkok]","0.0","1.7"
"Update Class","Put Update with Numeric Status in Body JSON","SUCCESS","2022-11-14T04:57:48.576+07:00[Asia/Bangkok]","0.0","1.7"
"Update Class","Put Update with Special Char Status in Body JSON","SUCCESS","2022-11-14T04:57:50.296+07:00[Asia/Bangkok]","0.0","1.7"
"Update User","Put update user with all valid data and authorization","SUCCESS","2022-11-14T04:57:52.027+07:00[Asia/Bangkok]","0.0","1.79"
"Update User","Put update user with all valid data and unauthorization","SUCCESS","2022-11-14T04:57:53.84+07:00[Asia/Bangkok]","0.0","2.91"
"Update User","Put update user with input numeric name","SUCCESS","2022-11-14T04:57:56.774+07:00[Asia/Bangkok]","0.0","1.7"
"Update User","Put update user with input special char name","SUCCESS","2022-11-14T04:57:58.487+07:00[Asia/Bangkok]","0.0","1.77"
"Update User","Put update user with invalid email","SUCCESS","2022-11-14T04:58:00.278+07:00[Asia/Bangkok]","0.0","3.4"
"Update User","Put update user with numeric password","SUCCESS","2022-11-14T04:58:03.69+07:00[Asia/Bangkok]","0.0","1.7"
"Update User","Put update user with invalid password","SUCCESS","2022-11-14T04:58:05.407+07:00[Asia/Bangkok]","0.0","5.33"
"Update User","Put update user with invalid images extention","FAILURE","2022-11-14T04:58:10.752+07:00[Asia/Bangkok]","0.0","1.74"
"Update User","Put update user with id_class not registered","SUCCESS","2022-11-14T04:58:12.512+07:00[Asia/Bangkok]","0.0","1.77"
"Update User","Put update user with all empty data in body JSON","SUCCESS","2022-11-14T04:58:14.298+07:00[Asia/Bangkok]","0.0","1.7"
"Get All Status","Get All Status with Authorization","SUCCESS","2022-11-14T04:58:16.013+07:00[Asia/Bangkok]","0.0","1.8"
"Get All Status","Get All Status without Authorization","SUCCESS","2022-11-14T04:58:17.827+07:00[Asia/Bangkok]","0.0","1.77"
"Post Add New Status","Post add status using valid data with authorization","SUCCESS","2022-11-14T04:58:19.624+07:00[Asia/Bangkok]","0.0","3.17"
"Post Add New Status","Post add status using valid data without authorization","SUCCESS","2022-11-14T04:58:22.805+07:00[Asia/Bangkok]","0.0","3.06"
"Post Add New Status","Post add status using numeric caption in body JSON","SUCCESS","2022-11-14T04:58:25.884+07:00[Asia/Bangkok]","0.0","3.14"
"Post Add New Status","Post add status using special char caption in body JSON","SUCCESS","2022-11-14T04:58:29.044+07:00[Asia/Bangkok]","0.0","2.82"
"Post Add New Status","Post add status with empty caption in body JSON","SUCCESS","2022-11-14T04:58:31.883+07:00[Asia/Bangkok]","0.0","2.73"
"Post Add New Status","Post add status with invalid images extension","SUCCESS","2022-11-14T04:58:34.633+07:00[Asia/Bangkok]","0.0","3.51"
"Post Add New Status","Post add status with empty images","SUCCESS","2022-11-14T04:58:38.159+07:00[Asia/Bangkok]","0.0","1.78"
"Post Add New Status","Post add status with more than max image size","SUCCESS","2022-11-14T04:58:39.954+07:00[Asia/Bangkok]","0.0","20.77"
"Login All users","Login user with valid data","SUCCESS","2022-11-14T04:59:00.75+07:00[Asia/Bangkok]","0.0","0.96"
"Login All users","Login user with unregistered email","SUCCESS","2022-11-14T04:59:01.727+07:00[Asia/Bangkok]","0.0","0.83"
"Login All users","Login user with invalid email","SUCCESS","2022-11-14T04:59:02.573+07:00[Asia/Bangkok]","0.0","2.66"
"Login All users","Login user with invalid password","SUCCESS","2022-11-14T04:59:05.244+07:00[Asia/Bangkok]","0.0","2.56"
"Login All users","Login user with all invalid data","SUCCESS","2022-11-14T04:59:07.823+07:00[Asia/Bangkok]","0.0","0.84"
"Login All users","Login user with empty email","SUCCESS","2022-11-14T04:59:08.673+07:00[Asia/Bangkok]","0.0","0.84"
"Login All users","Login user with empty password","SUCCESS","2022-11-14T04:59:09.535+07:00[Asia/Bangkok]","0.0","0.83"
"Login All users","Login user with all empty data","SUCCESS","2022-11-14T04:59:10.385+07:00[Asia/Bangkok]","0.0","0.83"
"Add Mentee Comment","Add Mentee comment with valid forum id and valid caption","SUCCESS","2022-11-14T04:59:11.233+07:00[Asia/Bangkok]","0.0","2.7"
"Add Mentee Comment","Add Mentee comment with invalid forum id and valid caption","SUCCESS","2022-11-14T04:59:13.953+07:00[Asia/Bangkok]","0.0","2.69"
"Add Mentee Comment","Add Mentee comment with unregistered forum  id and valid caption","FAILURE","2022-11-14T04:59:16.662+07:00[Asia/Bangkok]","0.0","2.67"
"Add Mentee Comment","Add Mentee comment with valid forum id and int caption","SUCCESS","2022-11-14T04:59:19.351+07:00[Asia/Bangkok]","0.0","3.74"
"Add Mentee Comment","Add Mentee comment with valid forum id and float caption","SUCCESS","2022-11-14T04:59:23.105+07:00[Asia/Bangkok]","0.0","2.7"
"Add Mentee Comment","Add Mentee comment with valid forum id and more than max caption char","FAILURE","2022-11-14T04:59:25.824+07:00[Asia/Bangkok]","0.0","3.56"
"Add Mentee Comment","Add Mentee comment with valid forum id and special char caption","SUCCESS","2022-11-14T04:59:29.399+07:00[Asia/Bangkok]","0.0","2.71"
"Add Mentee Comment","Add Mentee comment with valid forum id and empty data","FAILURE","2022-11-14T04:59:32.123+07:00[Asia/Bangkok]","0.0","2.84"
"AssignTask","Assign task with valid task id and valid file data","FAILURE","2022-11-14T04:59:34.978+07:00[Asia/Bangkok]","0.0","4.71"
"AssignTask","Assign task with invalid task id and valid file data","SUCCESS","2022-11-14T04:59:39.708+07:00[Asia/Bangkok]","0.0","4.72"
"AssignTask","Assign task with unregistered task id and valid file data","SUCCESS","2022-11-14T04:59:44.447+07:00[Asia/Bangkok]","0.0","5.5"
"AssignTask","Assign task with valid task id and invalid file data","SUCCESS","2022-11-14T04:59:49.975+07:00[Asia/Bangkok]","0.0","3.98"
"AssignTask","Assign task with valid task id and big file size","SUCCESS","2022-11-14T04:59:53.972+07:00[Asia/Bangkok]","0.0","38.73"
"AssignTask","Assign task without Token","FAILURE","2022-11-14T05:00:32.714+07:00[Asia/Bangkok]","0.0","9.77"
"Get All Task by Class","Get all task with valid class id","SUCCESS","2022-11-14T05:00:42.501+07:00[Asia/Bangkok]","0.0","2.87"
"Get All Task by Class","Get all task by class without Token","SUCCESS","2022-11-14T05:00:45.387+07:00[Asia/Bangkok]","0.0","2.73"
"Update Mentee Profile","Update profile Mentee with all valid data","SUCCESS","2022-11-14T05:00:48.149+07:00[Asia/Bangkok]","0.0","4.75"
"Update Mentee Profile","Update name Mentee with Numeric","SUCCESS","2022-11-14T05:00:52.915+07:00[Asia/Bangkok]","0.0","3.67"
"Update Mentee Profile","Update name Mentee with Special char","SUCCESS","2022-11-14T05:00:56.605+07:00[Asia/Bangkok]","0.0","4.67"
"Update Mentee Profile","Update name Mentee with more than maximum char","SUCCESS","2022-11-14T05:01:01.293+07:00[Asia/Bangkok]","0.0","3.62"
"Update Mentee Profile","Update email Mentee without '@'","SUCCESS","2022-11-14T05:01:04.93+07:00[Asia/Bangkok]","0.0","3.71"
"Update Mentee Profile","Update email Mentee with full numeric email address","SUCCESS","2022-11-14T05:01:08.653+07:00[Asia/Bangkok]","0.0","3.59"
